profile,model,feature,accuracy,eer,checkpoint
baseline,cnn,mfcc,0.9189746901188988,0.1028165458275796,D:\Document\Four-year\Second semeter\Học sâu\BTL\Voice-Spoofing-Detection\outputs\checkpoints\baseline_cnn_mfcc.pth
optimized,lcnn,lfcc,0.7891404747532883,0.1360493219877208,D:\Document\Four-year\Second semeter\Học sâu\BTL\Voice-Spoofing-Detection\outputs\checkpoints\optimized_lcnn_lfcc\best.ckpt
