profile,model,feature,eer_2019,eer_2021,generalization_gap
baseline,cnn,mfcc,0.1028165458275796,0.7401185770543903,0.6373020312268107
optimized,lcnn,lfcc,0.1360493219877208,0.6371922852146483,0.5011429632269275
