profile,model,feature,epoch,train_loss,val_loss,val_accuracy,val_eer,lr
custom,cnn,spectrogram,1,0.32896785209083107,0.882261429839118,0.8974400257607471,0.30769100510950426,0.001
custom,cnn,spectrogram,2,0.2619116669674855,0.16113437101847114,0.9502495572371599,0.10643963845370888,0.001
custom,cnn,spectrogram,3,0.18739238875155564,0.6545670039506758,0.9011833843181453,0.10876073539459667,0.001
custom,cnn,spectrogram,4,0.1519789357205091,5.313133401737143,0.17899694091128643,0.19056110479299776,0.001
custom,cnn,spectrogram,5,0.12958518725102863,8.935844976455574,0.13186282402189664,0.3692434993373022,0.001
custom,cnn,spectrogram,6,0.11530467639607506,0.4866573119056511,0.9292384479149896,0.14117198796385327,0.001
custom,cnn,spectrogram,7,0.11229553092432548,0.04129385044059015,0.9876831428111416,0.020430131148261255,0.001
custom,cnn,spectrogram,8,0.09774756507318352,0.07406340757313822,0.9750442762840122,0.07036161529280091,0.001
custom,cnn,spectrogram,9,0.09537853427463225,0.5097302299390533,0.9236435356625342,0.0879045188498518,0.001
custom,cnn,spectrogram,10,0.0869012360055208,0.14639522963907642,0.9582595395266462,0.03496797617780242,0.001
custom,cnn,spectrogram,11,0.08790436198302289,0.07545702581476367,0.9748027692803092,0.01686999632178779,0.001
custom,cnn,spectrogram,12,0.08252738474026451,0.04837936142570773,0.9834165190790533,0.03296629366327967,0.001
custom,cnn,spectrogram,13,0.07702243191588573,3.0008214540363336,0.9058122685557881,0.28408743020268473,0.001
custom,cnn,spectrogram,14,0.07195136770664753,1.72635154414342,0.9075028175817099,0.1994834449470771,0.001
custom,cnn,spectrogram,15,0.06788764287217852,1.2062942197195785,0.9194976654322975,0.15887943941342375,0.001
custom,cnn,spectrogram,16,0.05841356345031842,0.36766225366829636,0.8547737884398647,0.019746134356698693,0.0005
custom,cnn,spectrogram,17,0.05534863190459773,0.08965870422060565,0.9646594751247786,0.03924558769438058,0.0005
custom,cnn,spectrogram,18,0.05765401330094717,0.045049695810295595,0.9853083239413943,0.01213810025127881,0.0005
custom,cnn,spectrogram,19,0.05479935316663966,0.8663742028127602,0.9251730800193205,0.091427336439254,0.0005
custom,cnn,spectrogram,20,0.05443762273764732,0.16762023028079256,0.9401465142489133,0.03413805490731524,0.0005
custom,cnn,spectrogram,21,0.05251435933295576,1.3835000120999443,0.9259781033649976,0.15547163636507014,0.0005
custom,cnn,spectrogram,22,0.04929297663589941,0.018848390150999685,0.9929962968926099,0.01246888587346836,0.0005
custom,cnn,spectrogram,23,0.0524816956823153,0.8636453508175556,0.9287956850748672,0.12171298510295897,0.0005
custom,cnn,spectrogram,24,0.04921146988768903,0.1633231173373814,0.9576960231846724,0.07150545901891434,0.0005
