profile,model,feature,epoch,train_loss,val_loss,val_accuracy,val_eer,lr
custom,lcnn,mfcc,1,0.2899838654073418,0.21457841317975335,0.9039607148607309,0.17290484132710798,0.001
custom,lcnn,mfcc,2,0.2133995484516694,0.1974039637050159,0.917203348897118,0.14247830249098897,0.001
custom,lcnn,mfcc,3,0.16509630869255,0.19780916145910793,0.9251328288520367,0.13580094619614838,0.001
custom,lcnn,mfcc,4,0.13600900860120219,0.153125051779076,0.9375301883754629,0.11258437920170969,0.001
custom,lcnn,mfcc,5,0.10944290761758814,0.2010268275047957,0.9367654161970698,0.11556704738697662,0.001
custom,lcnn,mfcc,6,0.09966130370877455,0.1418921654974084,0.9474319755272903,0.09182346243125883,0.001
custom,lcnn,mfcc,7,0.08445697359687893,0.146669579772697,0.9421188214458219,0.09394832703305717,0.001
custom,lcnn,mfcc,8,0.0713641326742392,0.13369691453009216,0.9522621156013524,0.08868381541570838,0.001
custom,lcnn,mfcc,9,0.06838610672499834,0.1914100470814588,0.9304057317662212,0.09527146952181553,0.001
custom,lcnn,mfcc,10,0.07079496028795662,0.2083888168021919,0.9371679278699082,0.07771747640846519,0.001
custom,lcnn,mfcc,11,0.07403434297558686,0.14372833459163475,0.9489212687167928,0.08755690526603951,0.001
custom,lcnn,mfcc,12,0.05668104509900084,0.1346648718698112,0.948035743036548,0.0722791579992103,0.001
custom,lcnn,mfcc,13,0.04768280912516529,0.20837392860364076,0.9432056029624859,0.08076742123528224,0.001
custom,lcnn,mfcc,14,0.05102536030318456,0.20332929845752395,0.95129608758654,0.08001614780216962,0.001
custom,lcnn,mfcc,15,0.058682969331424285,0.1745027311336992,0.9518596039285139,0.08196160802650115,0.001
custom,lcnn,mfcc,16,0.027229161946384795,0.11429421239907549,0.964820479793914,0.058481532051422855,0.0005
custom,lcnn,mfcc,17,0.02203019427715737,0.0948393627409821,0.9673563033327967,0.05182660130376569,0.0005
custom,lcnn,mfcc,18,0.02283396254484619,0.11650444385587373,0.9636129447753985,0.05700141073238103,0.0005
custom,lcnn,mfcc,19,0.018254552149636578,0.11911974374622927,0.9653034938013202,0.05845910650423951,0.0005
custom,lcnn,mfcc,20,0.01856028388582399,0.13976256161564704,0.9625664144260183,0.060892331181044104,0.0005
custom,lcnn,mfcc,21,0.018371454871894823,0.11964443759044152,0.9588633070359041,0.05496624831931615,0.0005
custom,lcnn,mfcc,22,0.018718632004962987,0.12286252786998127,0.9618821445821929,0.05655849737427472,0.0005
custom,lcnn,mfcc,23,0.01619385811780969,0.19139197040268274,0.9554017066494929,0.06319100257474854,0.0005
custom,lcnn,mfcc,24,0.01870934937400281,0.1209871731920435,0.9637336982772501,0.058526383145789555,0.0005
custom,lcnn,mfcc,25,0.01699112525312164,0.2772489626592166,0.9481564965383996,0.06778834536215747,0.0005
custom,lcnn,mfcc,26,0.01994326206025432,0.1619066185709446,0.9611978747383674,0.05226951466187205,0.0005
custom,lcnn,mfcc,27,0.0191686962007371,0.11425063881175594,0.9654644984704557,0.055341885035872396,0.0005
custom,lcnn,mfcc,28,0.02009704223453908,0.19759111821554293,0.9546771856383836,0.06356663929130485,0.0005
custom,lcnn,mfcc,29,0.018506742118396542,0.16661912160190076,0.959145065206891,0.05531945948868905,0.0005
custom,lcnn,mfcc,30,0.016175970094290563,0.2085478266488477,0.9573740138464015,0.05388418926401398,0.0005
custom,lcnn,mfcc,31,0.007067505885843748,0.1663184925647317,0.9662695218161327,0.048401019760392336,0.00025
custom,lcnn,mfcc,32,0.00660282144054039,0.1836487708629471,0.9625261632587345,0.05881231767361246,0.00025
custom,lcnn,mfcc,33,0.006131301750263846,0.19253061341658304,0.9587425535340525,0.05737704744893734,0.00025
custom,lcnn,mfcc,34,0.005958050780956338,0.1525694210507543,0.9635324424408308,0.054921397224949445,0.00025
custom,lcnn,mfcc,35,0.004446190978496579,0.14329649799639388,0.9663097729834165,0.05262272583124496,0.00025
custom,lcnn,mfcc,36,0.009105340293955547,0.12460220232470981,0.9669135404926743,0.05142853904002603,0.00025
custom,lcnn,mfcc,37,0.006832981301348364,0.15865329777600876,0.9637739494445339,0.050256777795990464,0.00025
custom,lcnn,mfcc,38,0.005303323826304418,0.16384209715817474,0.9651424891321848,0.05405799605592007,0.00025
custom,lcnn,mfcc,39,0.0070222170904527,0.171711089234062,0.9635726936081146,0.04780112757200257,0.00025
custom,lcnn,mfcc,40,0.006055070605712732,0.21902631866625544,0.9600708420544196,0.0525554491896949,0.00025
custom,lcnn,mfcc,41,0.007469328223734799,0.18718728918938027,0.961318628240219,0.05100805122910303,0.00025
custom,lcnn,mfcc,42,0.006504021543046819,0.15909306812487725,0.9653034938013202,0.05027920334317382,0.00025
custom,lcnn,mfcc,43,0.005869079913774268,0.1842657790405787,0.9640557076155208,0.052202238020322,0.00025
custom,lcnn,mfcc,44,0.004316970189058402,0.242716915594335,0.9614796329093543,0.05531945948868905,0.00025
custom,lcnn,mfcc,45,0.006228561103553986,0.16658785669101578,0.9616003864112059,0.057707833071126945,0.00025
custom,lcnn,mfcc,46,0.0029545266208476683,0.1862012788385268,0.9621639027531799,0.05063241451254677,0.000125
custom,lcnn,mfcc,47,0.0020015901522232047,0.1850216663129912,0.9649412332957655,0.05295351145343456,0.000125
custom,lcnn,mfcc,48,0.0018091764036665286,0.2430957972993191,0.9595073257124457,0.0521573869259553,0.000125
custom,lcnn,mfcc,49,0.002391614308092747,0.2336261074901865,0.961036870069232,0.053486127000274324,0.000125
custom,lcnn,mfcc,50,0.0025894866921338687,0.18467918314968482,0.9664305264852681,0.05014465006007371,0.000125
